ID,Title,Scenario,Traits,Commander,Entrepreneur,Mediator,Protector,Entropist,Logistician,,Action,Outcome,"OutcomeID, Current: 90",Turns,Prerequisites (OutcomeID),outcomesModifications
0,Hosting the Olympics,Your country has won the bid to host the international Olympic Games.,Commander,0,-1,1,-1,1,-1,-,Planned the Olympics efficiently but forgot to invite the local mascot.,"The mascot union protested, leading to a parade of angry mascots taking over the streets.",1,8,,
,,,Entrepreneur,-1,1,1,0,0,-1,+,"Attracted investments, supported local businesses, and introduced a new Olympic-themed pizza.","The pizza became a sensation, with athletes endorsing it and fans worldwide craving a slice.",2,,,
,,,Mediator,1,0,1,-1,1,0,+,"Organized a cultural exchange fair for Olympic nations, featuring a dance-off between diplomats.","Dance moves went viral, bringing joy and strengthening diplomatic bonds among nations.",3,,,
,,,Protector,1,0,0,-1,1,0,-,Ensured safety and health during the Olympics but accidentally hired bumbling security guards.,"Security blunders ensued, as guards mistook athletes for impostors and confiscated their own medals.",4,,,
,,,Entropist,-1,-1,1,1,1,-1,-,Hosted water balloon fights during the Olympics.,"The water balloon fights spiraled out of control, drenching the Olympic flame and causing pandemonium.",5,,,
,,,Logistician,0,1,0,0,-1,1,+,"Meticulously planned the Olympics, even color-coding athlete jerseys based on their sport.","The coordinated jerseys impressed everyone, transforming athletes into fashion icons and setting a new trend.",6,,,
1,UFO Sighting,Reports of a UFO sighting have created a buzz among the citizens.,Commander,1,0,0,1,-1,1,+,Activated a task force to investigate the UFO sighting promptly.,"Thorough investigation reveals it was a weather balloon, calming public concerns.",7,5,,
,,,Entrepreneur,0,-1,0,0,0,-1,-,Capitalized on the UFO sighting by launching a line of alien-themed merchandise.,"Merchandise sales flop as public interest wanes, leaving a stockpile of unsold alien toys.",8,,,
,,,Mediator,1,-1,1,1,-1,0,+,Organized a public forum to address citizens' curiosity about the UFO sighting.,"Open dialogue brings understanding, and citizens feel reassured and informed.",9,,,
,,,Protector,1,0,0,-1,1,-1,-,"Heightened security measures and issued a UFO alert, causing panic among citizens.",Overwhelmed emergency services and false UFO reports create chaos and public fear.,10,,,
,,,Entropist,-1,1,0,0,0,1,+,Embraced the UFO sighting and organized a UFO-themed street parade.,"The parade becomes a hit, attracting tourists and boosting local economy.",11,,,
,,,Logistician,1,0,0,1,-1,0,-,Established a strict protocol for reporting and documenting UFO sightings.,Increased paperwork and bureaucracy lead to delays and frustration among citizens.,12,,,
2,Energy Emergency,A nationwide energy crisis has plunged the country into darkness.,Commander,1,-1,-1,-1,0,1,-,Enforced a nationwide energy rationing regime with strict rules and surprise inspections.,Tensions escalated as people resorted to creative ways to bypass the energy restrictions.,13,8,,
,,,Entrepreneur,0,-1,0,-1,0,1,-,"Marketed ""Glow-in-the-Dark"" products with exaggerated claims of unlimited luminosity.","Customers were disappointed as the products emitted feeble glows, failing to brighten the darkness.",14,,,
,,,Mediator,0,1,1,1,-1,0,+,"Organized an unconventional brainstorming session with energy providers and experts, encouraging wild ideas.","Surprisingly, an outlandish concept led to a breakthrough solution, gradually restoring power.",15,,,
,,,Protector,1,-1,0,1,0,1,+,"Distributed glow sticks and personalized flashlight hats to citizens, ensuring their safety and amusement.","People found comfort and humor in the glow sticks, creating a sense of unity during the darkness.",16,,,
,,,Entropist,-1,-1,1,0,1,-1,-,"Organized dance parties powered by portable generators, draining valuable energy resources.",The parties were exhilarating but contributed to prolonged darkness and limited energy availability.,17,,,
,,,Logistician,0,1,0,1,-1,1,+,"Planned a synchronized power rotation system, dynamically redistributing energy across regions.","By implementing this innovative plan, critical services remained functional, lessening the impact of the crisis.",18,,,
